603133 碳元科技 1分钟线 不复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/07/05	0931	33.89	34.33	33.89	34.27	483700	16493552.00
2017/07/05	0932	34.24	34.24	34.06	34.10	335100	11448528.00
2017/07/05	0933	33.98	34.07	33.92	34.00	146600	4980283.00
2017/07/05	0934	34.00	34.09	34.00	34.09	130400	4438788.00
2017/07/05	0935	34.09	34.48	34.09	34.48	191100	6545898.00
2017/07/05	0936	34.47	34.86	34.47	34.80	450300	15640541.00
2017/07/05	0937	34.86	34.88	34.71	34.72	284000	9881375.00
2017/07/05	0938	34.76	35.00	34.73	35.00	341700	11920771.00
2017/07/05	0939	35.01	35.25	35.01	35.12	593900	20875372.00
2017/07/05	0940	35.10	35.16	34.93	34.95	299800	10505035.00
2017/07/05	0941	34.98	35.20	34.93	35.20	344600	12065703.00
2017/07/05	0942	35.20	35.20	34.95	35.00	376900	13240811.00
2017/07/05	0943	35.00	35.00	34.80	34.80	165300	5773395.00
2017/07/05	0944	34.79	34.95	34.75	34.95	150800	5250877.00
2017/07/05	0945	34.97	35.04	34.95	35.00	233700	8179426.00
2017/07/05	0946	35.00	35.00	34.79	34.79	144300	5033236.00
2017/07/05	0947	34.77	34.77	34.60	34.60	147600	5118643.00
2017/07/05	0948	34.60	34.60	34.30	34.50	157200	5418993.00
2017/07/05	0949	34.50	34.55	34.41	34.55	151500	5226097.00
2017/07/05	0950	34.54	34.67	34.50	34.50	190700	6592365.00
2017/07/05	0951	34.50	34.50	34.18	34.18	200300	6885195.00
2017/07/05	0952	34.26	34.35	34.18	34.35	121300	4154278.00
2017/07/05	0953	34.35	34.39	34.34	34.39	90500	3110994.00
2017/07/05	0954	34.38	34.39	34.25	34.25	95300	3272953.00
2017/07/05	0955	34.24	34.33	34.21	34.33	132600	4541130.00
2017/07/05	0956	34.36	34.43	34.31	34.40	51200	1758872.00
2017/07/05	0957	34.40	34.59	34.40	34.59	43600	1503960.00
2017/07/05	0958	34.58	34.61	34.50	34.57	119200	4119939.00
2017/07/05	0959	34.57	34.58	34.46	34.47	78600	2713679.00
2017/07/05	1000	34.47	34.47	34.38	34.44	59400	2045954.00
2017/07/05	1001	34.44	34.53	34.44	34.53	43400	1497743.00
2017/07/05	1002	34.51	34.57	34.49	34.49	52500	1812291.00
2017/07/05	1003	34.47	34.47	34.31	34.31	54900	1887310.00
2017/07/05	1004	34.33	34.50	34.30	34.50	67700	2325752.00
2017/07/05	1005	34.52	34.64	34.51	34.62	86600	2994991.00
2017/07/05	1006	34.63	34.63	34.52	34.52	82200	2843787.00
2017/07/05	1007	34.59	34.60	34.51	34.60	65900	2279092.00
